"Year","Grado urbanización","Municipio","GeoCode","Value"
2021,"Zona rural","Torres de Albánchez","A23091","552.63"
2021,"Zona de densidad intermedia","Úbeda","A23092","498.57"
2021,"Zona rural","Valdepeñas de Jaén","A23093","479.04"
2021,"Zona rural","Vilches","A23094","512.34"
2021,"Zona de densidad intermedia","Villacarrillo","A23095","500.33"
2021,"Zona rural","Villanueva de la Reina","A23096","522.8"
2021,"Zona de densidad intermedia","Villanueva del Arzobispo","A23097","503.83"
2021,"Zona rural","Villardompardo","A23098","473.85"
2021,"Zona de densidad intermedia","Los Villares","A23099","443.5"
2021,"Zona rural","Villarrodrigo","A23101","507.65"
2021,"Zona rural","Cárcheles","A23901","471.21"
2021,"Zona rural","Bedmar y Garcíez","A23902","455.95"
2021,"Zona rural","Villatorres","A23903","514.5"
2021,"Zona rural","Santiago-Pontones","A23904","502.12"
2021,"Zona rural","Arroyo del Ojanco","A23905","490.86"
2021,"Zona de densidad intermedia","Alameda","A29001","574.73"
2021,"Zona rural","Alcaucín","A29002","664.41"
2021,"Zona rural","Alfarnate","A29003","601.7"
2021,"Zona rural","Alfarnatejo","A29004","681.56"
2021,"Zona de densidad intermedia","Algarrobo","A29005","474.58"
2021,"Zona rural","Algatocín","A29006","564.85"
2021,"Zona de densidad intermedia","Alhaurín de la Torre","A29007","528.52"
2021,"Zona de densidad intermedia","Alhaurín el Grande","A29008","506.07"
2021,"Zona rural","Almáchar","A29009","459.03"
2021,"Zona rural","Almargen","A29010","647.12"
2021,"Zona rural","Almogía","A29011","484.06"
2021,"Zona de densidad intermedia","Álora","A29012","467.46"
2021,"Zona rural","Alozaina","A29013","533.97"
2021,"Zona rural","Alpandeire","A29014","417.62"
2021,"Zona de densidad intermedia","Antequera","A29015","521.77"
2021,"Zona rural","Árchez","A29016","537.69"
2021,"Zona de densidad intermedia","Archidona","A29017","594.53"
2021,"Zona rural","Ardales","A29018","455.92"
2021,"Zona rural","Arenas","A29019","651.14"
2021,"Zona rural","Arriate","A29020","476.17"
2021,"Zona rural","Atajate","A29021","452.51"
2021,"Zona rural","Benadalid","A29022","538.14"
2021,"Zona rural","Benahavís","A29023","679.78"
2021,"Zona rural","Benalauría","A29024","550.46"
2021,"Ciudades","Benalmádena","A29025","504.76"
2021,"Zona rural","Benamargosa","A29026","473.62"
2021,"Zona rural","Benamocarra","A29027","510.56"
2021,"Zona rural","Benaoján","A29028","578.91"
2021,"Zona rural","Benarrabá","A29029","454.34"
2021,"Zona rural","El Borge","A29030","522.08"
2021,"Zona rural","El Burgo","A29031","486.43"
2021,"Zona de densidad intermedia","Campillos","A29032","512.35"
2021,"Zona rural","Canillas de Aceituno","A29033","541.67"
2021,"Zona rural","Canillas de Albaida","A29034","625.15"
2021,"Zona rural","Cañete la Real","A29035","634.42"
2021,"Zona rural","Carratraca","A29036","673.16"
2021,"Zona rural","Cartajima","A29037","521.24"
2021,"Zona de densidad intermedia","Cártama","A29038","469.46"
2021,"Zona rural","Casabermeja","A29039","546.34"
2021,"Zona rural","Casarabonela","A29040","544.63"
2021,"Zona rural","Casares","A29041","523.43"
2021,"Zona de densidad intermedia","Coín","A29042","494.29"
2021,"Zona rural","Colmenar","A29043","598.84"
2021,"Zona rural","Comares","A29044","590.81"
2021,"Zona rural","Cómpeta","A29045","531.56"
2021,"Zona rural","Cortes de la Frontera","A29046","473.63"
2021,"Zona rural","Cuevas Bajas","A29047","530.63"
2021,"Zona rural","Cuevas del Becerro","A29048","431.61"
2021,"Zona rural","Cuevas de San Marcos","A29049","554.23"
2021,"Zona rural","Cútar","A29050","519.93"
2021,"Zona de densidad intermedia","Estepona","A29051","531.26"
2021,"Zona rural","Faraján","A29052",548
2021,"Zona rural","Frigiliana","A29053","565.67"
2021,"Ciudades","Fuengirola","A29054","426.11"
2021,"Zona rural","Fuente de Piedra","A29055","541.52"
2021,"Zona rural","Gaucín","A29056","571.16"
2021,"Zona rural","Genalguacil","A29057","496.16"
2021,"Zona rural","Guaro","A29058","511.61"
2021,"Zona rural","Humilladero","A29059","595.51"
2021,"Zona rural","Igualeja","A29060","568.92"
2021,"Zona rural","Istán","A29061","571.71"
2021,"Zona rural","Iznate","A29062","490.13"
2021,"Zona rural","Jimera de Líbar","A29063","567.01"
2021,"Zona rural","Jubrique","A29064","598.55"
2021,"Zona rural","Júzcar","A29065","476.6"
2021,"Zona rural","Macharaviaya","A29066","9599.24"
2021,"Ciudades","Málaga (capital)","A29067","473.92"
2021,"Zona de densidad intermedia","Manilva","A29068","561.04"
2021,"Zona de densidad intermedia","Marbella","A29069","586.99"
2021,"Ciudades","Mijas","A29070","558.75"
2021,"Zona rural","Moclinejo","A29071","486.33"
2021,"Zona rural","Mollina","A29072","599.89"
2021,"Zona rural","Monda","A29073","500.36"
2021,"Zona rural","Montejaque","A29074","11971.22"
2021,"Zona de densidad intermedia","Nerja","A29075","469.98"
2021,"Zona rural","Ojén","A29076","553.57"
2021,"Zona rural","Parauta","A29077","406.37"
2021,"Zona rural","Periana","A29079","611.59"
2021,"Zona de densidad intermedia","Pizarra","A29080","512.43"
2021,"Zona rural","Pujerra","A29081","493.29"
2021,"Zona de densidad intermedia","Rincón de la Victoria","A29082","455.21"
2021,"Zona rural","Riogordo","A29083","764.08"
2021,"Zona de densidad intermedia","Ronda","A29084","538.22"
2021,"Zona rural","Salares","A29085","1265.9"
2021,"Zona rural","Sayalonga","A29086","465.3"
2021,"Zona rural","Sedella","A29087","601.35"
2021,"Zona rural","Sierra de Yeguas","A29088","577.38"
2021,"Zona rural","Teba","A29089","569.9"
2021,"Zona rural","Tolox","A29090","529.28"
2021,"Zona de densidad intermedia","Torrox","A29091","478.64"
2021,"Zona rural","Totalán","A29092","470.34"
2021,"Zona rural","Valle de Abdalajís","A29093","563.83"
2021,"Zona de densidad intermedia","Vélez-Málaga","A29094","489.86"
2021,"Zona rural","Villanueva de Algaidas","A29095","603.78"
2021,"Zona rural","Villanueva del Rosario","A29096","550.39"
2021,"Zona rural","Villanueva del Trabuco","A29097","575.93"
2021,"Zona rural","Villanueva de Tapia","A29098","595.69"
2021,"Zona rural","Viñuela","A29099","582.4"
2021,"Zona rural","Yunquera","A29100","469.3"
2021,"Ciudades","Torremolinos","A29901","533.05"
2021,"Zona rural","Villanueva de la Concepción","A29902","298.75"
2021,"Zona rural","Montecorto","A29903",
2021,"Zona rural","Serrato","A29904",
2021,"Zona rural","Aguadulce","A41001","550.45"
2021,"Zona rural","Alanís","A41002","534.97"
2021,"Zona de densidad intermedia","Albaida del Aljarafe","A41003","476.56"
2021,"Ciudades","Alcalá de Guadaíra","A41004","500.65"
2021,"Zona de densidad intermedia","Alcalá del Río","A41005","491.68"
2021,"Zona rural","Alcolea del Río","A41006","517.03"
2021,"Zona de densidad intermedia","La Algaba","A41007","426.9"
2021,"Zona rural","Algámitas","A41008","531.52"
2021,"Zona rural","Almadén de la Plata","A41009","516.9"
2021,"Zona de densidad intermedia","Almensilla","A41010","502.31"
2021,"Zona de densidad intermedia","Arahal","A41011","505.51"
2021,"Zona rural","Aznalcázar","A41012","518.64"
2021,"Zona de densidad intermedia","Aznalcóllar","A41013","524.26"
2021,"Zona rural","Badolatosa","A41014","553.4"
2021,"Zona de densidad intermedia","Benacazón","A41015","471.73"
2021,"Zona de densidad intermedia","Bollullos de la Mitación","A41016","478.69"
2021,"Ciudades","Bormujos","A41017","469.58"
2021,"Zona de densidad intermedia","Brenes","A41018","486.29"
2021,"Zona de densidad intermedia","Burguillos","A41019","467.26"
2021,"Zona de densidad intermedia","Las Cabezas de San Juan","A41020","498.26"
2021,"Ciudades","Camas","A41021","486.25"
2021,"Zona de densidad intermedia","La Campana","A41022","516.45"
2021,"Zona de densidad intermedia","Cantillana","A41023","467.69"
2021,"Zona de densidad intermedia","Carmona","A41024","520.45"
2021,"Zona rural","Carrión de los Céspedes","A41025","530.73"
2021,"Zona rural","Casariche","A41026","582.28"
2021,"Zona rural","Castilblanco de los Arroyos","A41027","511.56"
2021,"Zona de densidad intermedia","Castilleja de Guzmán","A41028","512.59"
2021,"Ciudades","Castilleja de la Cuesta","A41029","528.45"
2021,"Zona rural","Castilleja del Campo","A41030","571.88"
2021,"Zona rural","El Castillo de las Guardas","A41031","545.63"
2021,"Zona rural","Cazalla de la Sierra","A41032","492.85"
2021,"Zona de densidad intermedia","Constantina","A41033","523.02"
2021,"Zona de densidad intermedia","Coria del Río","A41034","493.6"
2021,"Zona rural","Coripe","A41035","554.39"
2021,"Zona rural","El Coronil","A41036","558.2"
2021,"Zona de densidad intermedia","Los Corrales","A41037","572.9"
2021,"Ciudades","Dos Hermanas","A41038","522.67"
2021,"Zona de densidad intermedia","Écija","A41039","515.39"
2021,"Zona de densidad intermedia","Espartinas","A41040","490.53"
2021,"Zona de densidad intermedia","Estepa","A41041","554.38"
2021,"Zona de densidad intermedia","Fuentes de Andalucía","A41042","548.46"
2021,"Zona rural","El Garrobo","A41043","529.56"
2021,"Ciudades","Gelves","A41044","509.08"
2021,"Zona de densidad intermedia","Gerena","A41045","477.65"
2021,"Zona rural","Gilena","A41046","542.73"
2021,"Ciudades","Gines","A41047","535.89"
2021,"Zona rural","Guadalcanal","A41048","522.41"
2021,"Zona de densidad intermedia","Guillena","A41049","484.53"
2021,"Zona de densidad intermedia","Herrera","A41050","528.29"
2021,"Zona rural","Huévar del Aljarafe","A41051","461.81"
2021,"Zona rural","Lantejuela","A41052","551.35"
2021,"Zona de densidad intermedia","Lebrija","A41053","499.06"
2021,"Zona rural","Lora de Estepa","A41054","733.71"
2021,"Zona de densidad intermedia","Lora del Río","A41055","539.19"
2021,"Zona rural","La Luisiana","A41056","539.13"
2021,"Zona rural","El Madroño","A41057","476.67"
2021,"Zona de densidad intermedia","Mairena del Alcor","A41058","516.97"
2021,"Ciudades","Mairena del Aljarafe","A41059","521.8"
2021,"Zona de densidad intermedia","Marchena","A41060","522.91"
2021,"Zona rural","Marinaleda","A41061","694.42"
2021,"Zona de densidad intermedia","Martín de la Jara","A41062","603.83"
2021,"Zona rural","Los Molares","A41063","491.16"
2021,"Zona de densidad intermedia","Montellano","A41064","541.49"
2021,"Zona de densidad intermedia","Morón de la Frontera","A41065","483.1"
2021,"Zona rural","Las Navas de la Concepción","A41066","500.65"
2021,"Zona de densidad intermedia","Olivares","A41067","499.68"
2021,"Zona de densidad intermedia","Osuna","A41068","503.64"
2021,"Zona de densidad intermedia","Los Palacios y Villafranca","A41069","472.26"
2021,"Ciudades","Palomares del Río","A41070","506.54"
2021,"Zona de densidad intermedia","Paradas","A41071","511.24"
2021,"Zona de densidad intermedia","Pedrera","A41072","500.1"
2021,"Zona rural","El Pedroso","A41073","483.32"
2021,"Zona rural","Peñaflor","A41074","556.47"
2021,"Zona de densidad intermedia","Pilas","A41075","499.64"
2021,"Zona rural","Pruna","A41076","540.71"
2021,"Zona de densidad intermedia","La Puebla de Cazalla","A41077","510.83"
2021,"Zona rural","La Puebla de los Infantes","A41078","547.85"
2021,"Zona de densidad intermedia","La Puebla del Río","A41079","558.41"
2021,"Zona rural","El Real de la Jara","A41080","532.06"
2021,"Zona de densidad intermedia","La Rinconada","A41081","485.46"
2021,"Zona rural","La Roda de Andalucía","A41082","565.47"
2021,"Zona rural","El Ronquillo","A41083","784.77"
2021,"Zona rural","El Rubio","A41084","628.85"
2021,"Zona de densidad intermedia","Salteras","A41085","530.29"
2021,"Ciudades","San Juan de Aznalfarache","A41086","455.36"
2021,"Zona de densidad intermedia","Sanlúcar la Mayor","A41087","500.36"
2021,"Zona rural","San Nicolás del Puerto","A41088","578.95"
2021,"Zona de densidad intermedia","Santiponce","A41089","508.07"
2021,"Zona rural","El Saucejo","A41090","553.8"
2021,"Ciudades","Sevilla (capital)","A41091","478.9"
2021,"Zona de densidad intermedia","Tocina","A41092",504
2021,"Ciudades","Tomares","A41093",519
2021,"Zona de densidad intermedia","Umbrete","A41094","454.99"
2021,"Zona de densidad intermedia","Utrera","A41095","485.56"
2021,"Zona de densidad intermedia","Valencina de la Concepción","A41096","552.82"
2021,"Zona rural","Villamanrique de la Condesa","A41097","540.06"
2021,"Zona de densidad intermedia","Villanueva del Ariscal","A41098","487.04"
2021,"Zona rural","Villanueva del Río y Minas","A41099","522.28"
2021,"Zona rural","Villanueva de San Juan","A41100","527.88"
2021,"Zona de densidad intermedia","Villaverde del Río","A41101","482.52"
2021,"Zona de densidad intermedia","El Viso del Alcor","A41102","515.4"
2021,"Zona rural","Cañada Rosal","A41901","527.04"
2021,"Zona de densidad intermedia","Isla Mayor","A41902","616.72"
2021,"Zona de densidad intermedia","El Cuervo de Sevilla","A41903","471.9"
2021,"Zona rural","El Palmar de Troya","A41904",
