"Year","Grado urbanización","Municipio","GeoCode","Value"
2020,,,,-0.9688
2020,"Ciudades",,,-0.616
2020,"Zona de densidad intermedia",,,-0.7925
2020,"Zona rural",,,-0.6874
2020,"Zona rural","Abla","A04001",-0.6453
2020,"Zona rural","Abrucena","A04002",-0.7631
2020,"Zona de densidad intermedia","Adra","A04003",-2.9715
2020,"Zona rural","Albanchez","A04004",0.161
2020,"Zona rural","Alboloduy","A04005",1.234
2020,"Zona de densidad intermedia","Albox","A04006",0.3187
2020,"Zona rural","Alcolea","A04007",0
2020,"Zona rural","Alcóntar","A04008",5.186
2020,"Zona rural","Alcudia de Monteagud","A04009",0
2020,"Zona rural","Alhabia","A04010",2.0384
2020,"Zona rural","Alhama de Almería","A04011",-1.5648
2020,"Zona rural","Alicún","A04012",0
2020,"Ciudades","Almería","A04013",-0.8653
2020,"Zona rural","Almócita","A04014",0
2020,"Zona rural","Alsodux","A04015",0
2020,"Zona rural","Antas","A04016",-0.4712
2020,"Zona rural","Arboleas","A04017",0.72
2020,"Zona rural","Armuña de Almanzora","A04018",-0.1638
2020,"Zona rural","Bacares","A04019",-3.6479
2020,"Zona rural","Bayárcal","A04020",0
2020,"Zona rural","Bayarque","A04021",-1.5153
2020,"Zona rural","Bédar","A04022",0
2020,"Zona rural","Beires","A04023",0
2020,"Zona de densidad intermedia","Benahadux","A04024",0.229
2020,"Zona rural","Benitagla","A04026",0
2020,"Zona rural","Benizalón","A04027",0
2020,"Zona rural","Bentarique","A04028",0
2020,"Zona de densidad intermedia","Berja","A04029",-0.207
2020,"Zona rural","Canjáyar","A04030",-0.2016
2020,"Zona rural","Cantoria","A04031",0.3776
2020,"Zona de densidad intermedia","Carboneras","A04032",-1.3131
2020,"Zona rural","Castro de Filabres","A04033",0
2020,"Zona rural","Cóbdar","A04034",0
2020,"Zona de densidad intermedia","Cuevas del Almanzora","A04035",2.0436
2020,"Zona rural","Chercos","A04036",0
2020,"Zona rural","Chirivel","A04037",0.133
2020,"Zona rural","Dalías","A04038",-0.0471
2020,"Zona rural","Enix","A04041",0
2020,"Zona rural","Felix","A04043",0
2020,"Zona rural","Fines","A04044",0
2020,"Zona rural","Fiñana","A04045",-0.0021
2020,"Zona rural","Fondón","A04046",4.4149
2020,"Zona rural","Gádor","A04047",0
2020,"Zona rural","Gallardos, Los","A04048",1.0147
2020,"Zona de densidad intermedia","Garrucha","A04049",1.0427
2020,"Zona rural","Gérgal","A04050",1.3323
2020,"Zona rural","Huécija","A04051",0
2020,"Ciudades","Huércal de Almería","A04052",-0.1439
2020,"Zona de densidad intermedia","Huércal-Overa","A04053",-0.6236
2020,"Zona rural","Íllar","A04054",0
2020,"Zona rural","Instinción","A04055",0
2020,"Zona rural","Laroya","A04056",-0.1857
2020,"Zona rural","Láujar de Andarax","A04057",-0.4642
2020,"Zona rural","Líjar","A04058",0
2020,"Zona rural","Lubrín","A04059",-2.0367
2020,"Zona rural","Lucainena de las Torres","A04060",0
2020,"Zona rural","Lúcar","A04061",-3.2867
2020,"Zona de densidad intermedia","Macael","A04062",-0.1651
2020,"Zona rural","María","A04063",-1.6625
2020,"Zona rural","Mojácar","A04064",1.1412
2020,"Zona rural","Nacimiento","A04065",-0.0348
2020,"Zona de densidad intermedia","Níjar","A04066",-2.2532
2020,"Zona rural","Ohanes","A04067",-3.6777
2020,"Zona rural","Olula de Castro","A04068",0
2020,"Zona de densidad intermedia","Olula del Río","A04069",1.7924
2020,"Zona rural","Oria","A04070",0.0767
2020,"Zona rural","Padules","A04071",0
2020,"Zona rural","Partaloa","A04072",-2.3706
2020,"Zona rural","Paterna del Río","A04073",7.3733
