Indicator,Disaggregations,Number of disaggregations
#11-7-1-a,"Grado urbanización, Municipio",2
#11-7-1-b,"Grado urbanización, Municipio",2
#11-7-1-c,"Grado urbanización, Municipio",2
#7-1-2-a,"Grado urbanización, Municipio",2
#7-1-2-b,"Grado urbanización, Municipio",2
