Value,Disaggregation combinations using this value,Number of indicators
Dehesas Viejas,5,5
Deifontes,5,5
Diezma,5,5
Domingo Pérez de Granada,5,5
Dos Hermanas,5,5
Dos Torres,5,5
Doña Mencía,5,5
Dílar,5,5
Dólar,5,5
Dúdar,5,5
Dúrcal,5,5
"Ejido, El",5,5
Encinas Reales,5,5
Encinasola,5,5
Enix,5,5
Escacena del Campo,5,5
Escañuela,5,5
Escúzar,5,5
Espartinas,5,5
Espejo,5,5
Espeluy,5,5
Espera,5,5
Espiel,5,5
Estepa,5,5
Estepona,5,5
Faraján,5,5
Felix,5,5
Fernán-Núñez,5,5
Ferreira,5,5
Fines,5,5
Fiñana,5,5
Fondón,5,5
Fonelas,5,5
Fornes,5,5
Frailes,5,5
Freila,5,5
Frigiliana,5,5
Fuengirola,5,5
Fuensanta de Martos,5,5
Fuente Carreteros,5,5
Fuente de Piedra,5,5
Fuente la Lancha,5,5
Fuente Obejuna,5,5
Fuente Palmera,5,5
Fuente-Tójar,5,5
Fuente Vaqueros,5,5
Fuenteheridos,5,5
Fuentes de Andalucía,5,5
Fuerte del Rey,5,5
"Gabias, Las",5,5
Galaroza,5,5
Galera,5,5
"Gallardos, Los",5,5
"Garrobo, El",5,5
Garrucha,5,5
"Gastor, El",5,5
Gaucín,5,5
Gelves,5,5
Genalguacil,5,5
Gerena,5,5
Gibraleón,5,5
Gilena,5,5
Gines,5,5
Gobernador,5,5
Gor,5,5
Gorafe,5,5
"Granada de Río-Tinto, La",5,5
Granada,5,5
"Granado, El",5,5
"Granjuela, La",5,5
Grazalema,5,5
Guadahortuna,5,5
Guadalcanal,5,5
Guadalcázar,5,5
Guadix,5,5
Gualchos,5,5
"Guardia de Jaén, La",5,5
Guaro,5,5
Guarromán,5,5
"Guijarrosa, La",5,5
"Guijo, El",5,5
Guillena,5,5
"Guájares, Los",5,5
Gádor,5,5
Génave,5,5
Gérgal,5,5
Gójar,5,5
Güevéjar,5,5
Güéjar Sierra,5,5
Herrera,5,5
Higuera de Calatrava,5,5
Higuera de la Sierra,5,5
Hinojales,5,5
Hinojares,5,5
Hinojos,5,5
Hinojosa del Duque,5,5
Hornachuelos,5,5
Hornos,5,5
Huelma,5,5
Huelva,5,5
Huesa,5,5
Humilladero,5,5
Huécija,5,5
Huélago,5,5
Huéneja,5,5
Huércal de Almería,5,5
Huércal-Overa,5,5
Huéscar,5,5
Huétor de Santillán,5,5
Huétor Tájar,5,5
Huétor Vega,5,5
Huévar del Aljarafe,5,5
Ibros,5,5
Igualeja,5,5
Instinción,5,5
"Iruela, La",5,5
Isla Cristina,5,5
Isla Mayor,5,5
Istán,5,5
Iznalloz,5,5
Iznate,5,5
Iznatoraf,5,5
Iznájar,5,5
Jabalquinto,5,5
Jabugo,5,5
Jamilena,5,5
Jayena,5,5
Jaén,5,5
Jerez de la Frontera,5,5
Jete,5,5
Jimena de la Frontera,5,5
Jimena,5,5
Jimera de Líbar,5,5
Jubrique,5,5
Jun,5,5
Juviles,5,5
Játar,5,5
Jérez del Marquesado,5,5
Jódar,5,5
Júzcar,5,5
Lahiguera,5,5
Lanjarón,5,5
Lanteira,5,5
Lantejuela,5,5
Laroya,5,5
Larva,5,5
Lebrija,5,5
Lecrín,5,5
Lentegí,5,5
Lepe,5,5
Linares de la Sierra,5,5
Linares,5,5
Lobras,5,5
Loja,5,5
Lopera,5,5
Lora de Estepa,5,5
Lora del Río,5,5
Lubrín,5,5
Lucainena de las Torres,5,5
Lucena del Puerto,5,5
Lucena,5,5
Lugros,5,5
"Luisiana, La",5,5
Lupión,5,5
Luque,5,5
Láchar,5,5
Láujar de Andarax,5,5
Líjar,5,5
"Línea de la Concepción, La",5,5
Lúcar,5,5
Lújar,5,5
Macael,5,5
Macharaviaya,5,5
"Madroño, El",5,5
Mairena del Alcor,5,5
Mairena del Aljarafe,5,5
"Malahá, La",5,5
Mancha Real,5,5
Manilva,5,5
Manzanilla,5,5
Maracena,5,5
Marbella,5,5
Marchal,5,5
Marchena,5,5
Marinaleda,5,5
"Marines, Los",5,5
Marmolejo,5,5
Martos,5,5
Martín de la Jara,5,5
María,5,5
Medina Sidonia,5,5
Mengíbar,5,5
Mijas,5,5
Minas de Riotinto,5,5
Moclinejo,5,5
Moclín,5,5
Moguer,5,5
"Mojonera, La",5,5
Mojácar,5,5
"Molares, Los",5,5
Mollina,5,5
Molvízar,5,5
Monachil,5,5
Monda,5,5
Montalbán de Córdoba,5,5
Montecorto,5,5
Montefrío,5,5
Montejaque,5,5
Montejícar,5,5
Montellano,5,5
Montemayor,5,5
Montilla,5,5
Montillana,5,5
Montizón,5,5
Montoro,5,5
Monturque,5,5
Moraleda de Zafayona,5,5
Morelábor,5,5
Moriles,5,5
Morón de la Frontera,5,5
Motril,5,5
Murtas,5,5
Málaga,5,5
Nacimiento,5,5
"Nava, La",5,5
"Navas de la Concepción, Las",5,5
Navas de San Juan,5,5
Nerja,5,5
Nerva,5,5
Nevada,5,5
Niebla,5,5
Nigüelas,5,5
Noalejo,5,5
Nueva Carteya,5,5
Níjar,5,5
Nívar,5,5
Obejo,5,5
Ogíjares,5,5
Ohanes,5,5
Ojén,5,5
Olivares,5,5
Olula de Castro,5,5
Olula del Río,5,5
Olvera,5,5
Orce,5,5
Orcera,5,5
Oria,5,5
Osuna,5,5
Otívar,5,5
Padul,5,5
Padules,5,5
"Palacios y Villafranca, Los",5,5
Palenciana,5,5
"Palma del Condado, La",5,5
Palma del Río,5,5
"Palmar de Troya, El",5,5
Palomares del Río,5,5
Palos de la Frontera,5,5
Pampaneira,5,5
Paradas,5,5
Parauta,5,5
Partaloa,5,5
Paterna de Rivera,5,5
Paterna del Campo,5,5
Paterna del Río,5,5
Paymogo,5,5
Peal de Becerro,5,5
Pechina,5,5
Pedrera,5,5
Pedro Abad,5,5
Pedro Martínez,5,5
Pedroche,5,5
"Pedroso, El",5,5
Pegalajar,5,5
Peligros,5,5
Periana,5,5
"Peza, La",5,5
Peñaflor,5,5
Peñarroya-Pueblonuevo,5,5
Pilas,5,5
"Pinar, El",5,5
Pinos Genil,5,5
Pinos Puente,5,5
Pizarra,5,5
Polopos,5,5
Polícar,5,5
Porcuna,5,5
Posadas,5,5
Pozo Alcón,5,5
Pozoblanco,5,5
Prado del Rey,5,5
Priego de Córdoba,5,5
Pruna,5,5
"Puebla de Cazalla, La",5,5
Puebla de Don Fadrique,5,5
Puebla de Guzmán,5,5
"Puebla de los Infantes, La",5,5
"Puebla del Río, La",5,5
Puente de Génave,5,5
Puente Genil,5,5
"Puerta de Segura, La",5,5
"Puerto de Santa María, El",5,5
Puerto Moral,5,5
Puerto Real,5,5
Puerto Serrano,5,5
Pujerra,5,5
Pulianas,5,5
Pulpí,5,5
Punta Umbría,5,5
Purchena,5,5
Purullena,5,5
Píñar,5,5
Pórtugos,5,5
Quesada,5,5
Quéntar,5,5
"Rambla, La",5,5
"Real de la Jara, El",5,5
"Rinconada, La",5,5
Rincón de la Victoria,5,5
Riogordo,5,5
Rioja,5,5
Rociana del Condado,5,5
"Roda de Andalucía, La",5,5
Ronda,5,5
"Ronquillo, El",5,5
Roquetas de Mar,5,5
Rosal de la Frontera,5,5
Rota,5,5
"Rubio, El",5,5
Rubite,5,5
Rus,5,5
Rute,5,5
Rágol,5,5
Sabiote,5,5
Salar,5,5
Salares,5,5
Salobreña,5,5
Salteras,5,5
San Bartolomé de la Torre,5,5
San Fernando,5,5
San José del Valle,5,5
San Juan de Aznalfarache,5,5
San Juan del Puerto,5,5
San Martín del Tesorillo,5,5
San Nicolás del Puerto,5,5
San Roque,5,5
San Sebastián de los Ballesteros,5,5
San Silvestre de Guzmán,5,5
Sanlúcar de Barrameda,5,5
Sanlúcar de Guadiana,5,5
Sanlúcar la Mayor,5,5
Santa Ana la Real,5,5
Santa Bárbara de Casa,5,5
Santa Cruz de Marchena,5,5
Santa Cruz del Comercio,5,5
Santa Elena,5,5
Santa Eufemia,5,5
Santa Fe de Mondújar,5,5
Santa Fe,5,5
Santa Olalla del Cala,5,5
Santaella,5,5
Santiago de Calatrava,5,5
Santiago-Pontones,5,5
Santiponce,5,5
Santisteban del Puerto,5,5
Santo Tomé,5,5
"Saucejo, El",5,5
Sayalonga,5,5
Sedella,5,5
Segura de la Sierra,5,5
Senés,5,5
Serrato,5,5
Serón,5,5
Setenil de las Bodegas,5,5
Sevilla,5,5
Sierra de Yeguas,5,5
Sierro,5,5
Siles,5,5
Somontín,5,5
Soportújar,5,5
Sorbas,5,5
Sorihuela del Guadalimar,5,5
Sorvilán,5,5
Suflí,5,5
Tabernas,5,5
Taberno,5,5
"Taha, La",5,5
Tahal,5,5
Tarifa,5,5
Teba,5,5
Terque,5,5
Tocina,5,5
Tolox,5,5
Tomares,5,5
Torre Alháquime,5,5
Torre-Cardela,5,5
Torreblascopedro,5,5
Torrecampo,5,5
Torredelcampo,5,5
Torredonjimeno,5,5
Torremolinos,5,5
Torrenueva Costa,5,5
Torreperogil,5,5
Torres de Albánchez,5,5
Torres,5,5
Torrox,5,5
Torvizcón,5,5
Totalán,5,5
Trebujena,5,5
"Tres Villas, Las",5,5
Trevélez,5,5
Trigueros,5,5
Turre,5,5
Turrillas,5,5
Turón,5,5
Tíjola,5,5
Ubrique,5,5
Ugíjar,5,5
Uleila del Campo,5,5
Umbrete,5,5
Urrácal,5,5
Utrera,5,5
Valdelarco,5,5
Valdepeñas de Jaén,5,5
Valderrubio,5,5
Valencina de la Concepción,5,5
Valenzuela,5,5
Valle de Abdalajís,5,5
Valle del Zalabí,5,5
"Valle, El",5,5
Valsequillo,5,5
Valverde del Camino,5,5
Vegas del Genil,5,5
Vejer de la Frontera,5,5
Velefique,5,5
Ventas de Huelma,5,5
Vera,5,5
Viator,5,5
"Victoria, La",5,5
Vilches,5,5
Villa de Otura,5,5
Villa del Río,5,5
Villablanca,5,5
Villacarrillo,5,5
Villafranca de Córdoba,5,5
Villaharta,5,5
Villalba del Alcor,5,5
Villaluenga del Rosario,5,5
Villamanrique de la Condesa,5,5
Villamartín,5,5
Villamena,5,5
Villanueva de Algaidas,5,5
Villanueva de Córdoba,5,5
Villanueva de la Concepción,5,5
Villanueva de la Reina,5,5
Villanueva de las Cruces,5,5
Villanueva de las Torres,5,5
Villanueva de los Castillejos,5,5
Villanueva de San Juan,5,5
Villanueva de Tapia,5,5
Villanueva del Ariscal,5,5
Villanueva del Arzobispo,5,5
Villanueva del Duque,5,5
Villanueva del Rey,5,5
Villanueva del Rosario,5,5
Villanueva del Río y Minas,5,5
Villanueva del Trabuco,5,5
Villanueva Mesía,5,5
Villaralto,5,5
Villardompardo,5,5
"Villares, Los",5,5
Villarrasa,5,5
Villarrodrigo,5,5
Villatorres,5,5
Villaverde del Río,5,5
Villaviciosa de Córdoba,5,5
"Viso del Alcor, El",5,5
"Viso, El",5,5
Viñuela,5,5
Válor,5,5
Vélez-Blanco,5,5
Vélez de Benaudalla,5,5
Vélez-Málaga,5,5
Vélez-Rubio,5,5
Vícar,5,5
Víznar,5,5
Yunquera,5,5
Zafarraya,5,5
Zagra,5,5
Zahara,5,5
Zalamea la Real,5,5
"Zarza-Perrunal, La",5,5
"Zubia, La",5,5
Zufre,5,5
Zuheros,5,5
Zurgena,5,5
Zújar,5,5
Álora,5,5
Árchez,5,5
Écija,5,5
Íllar,5,5
Íllora,5,5
Ítrabo,5,5
Órgiva,5,5
Úbeda,5,5
